run_id,condition,persona_id,repeat,decision,transportation_mode,destination_type,departure_urgency,income_level,vehicle_access,family_structure,medical_caregiving_responsibilities,wildfire_risk_level,transit_access,distance_to_nearest_shelter,road_travel_time_to_shelter,distance_to_hazard_zone,has_children,has_medical_need,is_low_income,mode_hard_violation,destination_hard_violation,mode_soft_issue,destination_soft_issue,soft_feasibility_issue,hard_violation_count,soft_violation_count,spatial_inconsistency_count,any_hard_violation,any_soft_issue,any_violation,mode_feasible,destination_feasible,feasibility_score,spatial_consistency_score,hard_violation_notes,soft_violation_notes,spatial_inconsistency_notes,violation_notes
ACS-006-baseline-r1,baseline,ACS-006,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-006-spatial_grounded-r1,spatial_grounded,ACS-006,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-007-baseline-r1,baseline,ACS-007,1,Evacuate now,Public transit,Friend/relative home,High,Middle,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-007-spatial_grounded-r1,spatial_grounded,ACS-007,1,Evacuate now,Public transit,Public shelter,High,Middle,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-008-baseline-r1,baseline,ACS-008,1,Evacuate now,Public transit,Friend/relative home,High,Low,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-008-spatial_grounded-r1,spatial_grounded,ACS-008,1,Evacuate now,Public transit,Public shelter,High,Low,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-009-baseline-r1,baseline,ACS-009,1,Evacuate now,Public transit,Friend/relative home,High,Low,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-009-spatial_grounded-r1,spatial_grounded,ACS-009,1,Evacuate now,Public transit,Public shelter,High,Low,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-010-baseline-r1,baseline,ACS-010,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-010-spatial_grounded-r1,spatial_grounded,ACS-010,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-011-baseline-r1,baseline,ACS-011,1,Evacuate now,Private vehicle,Friend/relative home,High,Low,Yes,Single adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-011-spatial_grounded-r1,spatial_grounded,ACS-011,1,Evacuate now,Private vehicle,Public shelter,High,Low,Yes,Single adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-012-baseline-r1,baseline,ACS-012,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Single adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-012-spatial_grounded-r1,spatial_grounded,ACS-012,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Single adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-013-baseline-r1,baseline,ACS-013,1,Evacuate now,Public transit,Friend/relative home,High,Low,No,Shared adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-013-spatial_grounded-r1,spatial_grounded,ACS-013,1,Evacuate now,Public transit,Public shelter,High,Low,No,Shared adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-014-baseline-r1,baseline,ACS-014,1,Evacuate now,Public transit,Friend/relative home,High,Low,No,Shared adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-014-spatial_grounded-r1,spatial_grounded,ACS-014,1,Evacuate now,Public transit,Public shelter,High,Low,No,Shared adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-015-baseline-r1,baseline,ACS-015,1,Evacuate now,Public transit,Friend/relative home,High,Low,No,Single adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-015-spatial_grounded-r1,spatial_grounded,ACS-015,1,Evacuate now,Public transit,Public shelter,High,Low,No,Single adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-016-baseline-r1,baseline,ACS-016,1,Evacuate now,Public transit,Friend/relative home,High,Middle,No,Single adult household,None,High,Good,3.1,20,1.9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-016-spatial_grounded-r1,spatial_grounded,ACS-016,1,Evacuate now,Public transit,Public shelter,High,Middle,No,Single adult household,None,High,Good,3.1,20,1.9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-017-baseline-r1,baseline,ACS-017,1,Evacuate now,Public transit,Friend/relative home,High,Low,No,Single adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-017-spatial_grounded-r1,spatial_grounded,ACS-017,1,Evacuate now,Public transit,Public shelter,High,Low,No,Single adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-018-baseline-r1,baseline,ACS-018,1,Evacuate now,Private vehicle,Friend/relative home,High,Lower-middle,Yes,Shared adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-018-spatial_grounded-r1,spatial_grounded,ACS-018,1,Evacuate now,Private vehicle,Public shelter,High,Lower-middle,Yes,Shared adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-019-baseline-r1,baseline,ACS-019,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Single adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-019-spatial_grounded-r1,spatial_grounded,ACS-019,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Single adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-020-baseline-r1,baseline,ACS-020,1,Evacuate now,Private vehicle,Friend/relative home,High,Lower-middle,Yes,Two-adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-020-spatial_grounded-r1,spatial_grounded,ACS-020,1,Evacuate now,Private vehicle,Public shelter,High,Lower-middle,Yes,Two-adult household,None,High,Good,3.1,20,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-021-baseline-r1,baseline,ACS-021,1,Evacuate now,Public transit,Friend/relative home,High,Low,No,Two-adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-021-spatial_grounded-r1,spatial_grounded,ACS-021,1,Evacuate now,Public transit,Public shelter,High,Low,No,Two-adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-022-baseline-r1,baseline,ACS-022,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-022-spatial_grounded-r1,spatial_grounded,ACS-022,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-023-baseline-r1,baseline,ACS-023,1,Evacuate now,Public transit,Friend/relative home,High,Upper-middle,No,Shared adult household,None,High,Good,3.9,25,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-023-spatial_grounded-r1,spatial_grounded,ACS-023,1,Evacuate now,Public transit,Public shelter,High,Upper-middle,No,Shared adult household,None,High,Good,3.9,25,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-024-baseline-r1,baseline,ACS-024,1,Evacuate now,Public transit,Friend/relative home,High,Low,No,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-024-spatial_grounded-r1,spatial_grounded,ACS-024,1,Evacuate now,Public transit,Public shelter,High,Low,No,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-025-baseline-r1,baseline,ACS-025,1,Evacuate now,Private vehicle,Friend/relative home,High,Low,Yes,Two-adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-025-spatial_grounded-r1,spatial_grounded,ACS-025,1,Evacuate now,Private vehicle,Public shelter,High,Low,Yes,Two-adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-026-baseline-r1,baseline,ACS-026,1,Evacuate now,Public transit,Public shelter,High,Low,No,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-026-spatial_grounded-r1,spatial_grounded,ACS-026,1,Evacuate now,Public transit,Public shelter,High,Low,No,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-027-baseline-r1,baseline,ACS-027,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-027-spatial_grounded-r1,spatial_grounded,ACS-027,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-028-baseline-r1,baseline,ACS-028,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-028-spatial_grounded-r1,spatial_grounded,ACS-028,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-029-baseline-r1,baseline,ACS-029,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Two-adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-029-spatial_grounded-r1,spatial_grounded,ACS-029,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Two-adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-030-baseline-r1,baseline,ACS-030,1,Evacuate now,Private vehicle,Outside evacuation zone,High,Lower-middle,Yes,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-030-spatial_grounded-r1,spatial_grounded,ACS-030,1,Evacuate now,Private vehicle,Public shelter,High,Lower-middle,Yes,Single adult household,None,High,Good,3.9,25,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-031-baseline-r1,baseline,ACS-031,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Shared adult household,None,High,Good,4.7,30,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-031-spatial_grounded-r1,spatial_grounded,ACS-031,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Shared adult household,None,High,Good,4.7,30,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-032-baseline-r1,baseline,ACS-032,1,Evacuate now,Private vehicle,Friend/relative home,High,Low,Yes,Two-adult household,None,High,Good,4.7,30,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-032-spatial_grounded-r1,spatial_grounded,ACS-032,1,Evacuate now,Private vehicle,Public shelter,High,Low,Yes,Two-adult household,None,High,Good,4.7,30,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-033-baseline-r1,baseline,ACS-033,1,Evacuate now,Private vehicle,Friend/relative home,High,Lower-middle,Yes,Two-adult household,None,High,Good,4.7,30,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-033-spatial_grounded-r1,spatial_grounded,ACS-033,1,Evacuate now,Private vehicle,Public shelter,High,Lower-middle,Yes,Two-adult household,None,High,Good,4.7,30,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-034-baseline-r1,baseline,ACS-034,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Single adult household,None,High,Good,4.7,30,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-034-spatial_grounded-r1,spatial_grounded,ACS-034,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Single adult household,None,High,Good,4.7,30,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-035-baseline-r1,baseline,ACS-035,1,Evacuate now,Private vehicle,Friend/relative home,High,Lower-middle,Yes,Shared adult household,Older adult mobility or medication needs,High,Good,4.7,30,3.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-035-spatial_grounded-r1,spatial_grounded,ACS-035,1,Evacuate now,Private vehicle,Friend/relative home,High,Lower-middle,Yes,Shared adult household,Older adult mobility or medication needs,High,Good,4.7,30,3.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-036-baseline-r1,baseline,ACS-036,1,Evacuate now,Public transit,Friend/relative home,High,Upper-middle,No,Two-adult household,None,High,Good,4.7,30,3.1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-036-spatial_grounded-r1,spatial_grounded,ACS-036,1,Evacuate now,Public transit,Public shelter,High,Upper-middle,No,Two-adult household,None,High,Good,4.7,30,3.1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-037-baseline-r1,baseline,ACS-037,1,Evacuate now,Private vehicle,Friend/relative home,High,Low,Yes,Single adult household,Older adult mobility or medication needs,High,Good,4.7,30,3.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-037-spatial_grounded-r1,spatial_grounded,ACS-037,1,Evacuate now,Private vehicle,Public shelter,High,Low,Yes,Single adult household,Older adult mobility or medication needs,High,Good,4.7,30,3.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-038-baseline-r1,baseline,ACS-038,1,Evacuate now,Private vehicle,Friend/relative home,High,Upper-middle,Yes,Single adult household,None,High,Good,4.7,30,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-038-spatial_grounded-r1,spatial_grounded,ACS-038,1,Evacuate now,Private vehicle,Public shelter,High,Upper-middle,Yes,Single adult household,None,High,Good,4.7,30,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-039-baseline-r1,baseline,ACS-039,1,Evacuate now,Private vehicle,Friend/relative home,High,Middle,Yes,Single adult household,None,High,Good,4.7,30,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-039-spatial_grounded-r1,spatial_grounded,ACS-039,1,Evacuate now,Private vehicle,Public shelter,High,Middle,Yes,Single adult household,None,High,Good,4.7,30,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-040-baseline-r1,baseline,ACS-040,1,Evacuate now,Public transit,Public shelter,High,Low,No,Single adult household,None,High,Good,4.7,30,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-040-spatial_grounded-r1,spatial_grounded,ACS-040,1,Evacuate now,Public transit,Public shelter,High,Low,No,Single adult household,None,High,Good,4.7,30,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-041-baseline-r1,baseline,ACS-041,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Two-adult household,None,High,Good,5.5,35,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-041-spatial_grounded-r1,spatial_grounded,ACS-041,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Two-adult household,None,High,Good,5.5,35,0.7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-042-baseline-r1,baseline,ACS-042,1,Evacuate now,Private vehicle,Friend/relative home,High,Low,Yes,Two-adult household,None,High,Good,5.5,35,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-042-spatial_grounded-r1,spatial_grounded,ACS-042,1,Evacuate now,Private vehicle,Public shelter,High,Low,Yes,Two-adult household,None,High,Good,5.5,35,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-043-baseline-r1,baseline,ACS-043,1,Evacuate now,Public transit,Friend/relative home,High,Middle,No,Two-adult household,None,High,Good,5.5,35,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-043-spatial_grounded-r1,spatial_grounded,ACS-043,1,Evacuate now,Public transit,Public shelter,High,Middle,No,Two-adult household,None,High,Good,5.5,35,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-044-baseline-r1,baseline,ACS-044,1,Evacuate now,Public transit,Public shelter,High,Low,No,Two-adult household,None,High,Good,5.5,35,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-044-spatial_grounded-r1,spatial_grounded,ACS-044,1,Evacuate now,Public transit,Public shelter,High,Low,No,Two-adult household,None,High,Good,5.5,35,0.7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-045-baseline-r1,baseline,ACS-045,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Two-adult household,None,High,Good,5.5,35,0.7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-045-spatial_grounded-r1,spatial_grounded,ACS-045,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Two-adult household,None,High,Good,5.5,35,0.7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-046-baseline-r1,baseline,ACS-046,1,Evacuate now,Public transit,Friend/relative home,High,Low,No,Single adult household,None,High,Good,5.5,35,0.7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
